"rep","day","parasite","dent.adult","dent.juv","dent.inf","dent.ephip ","dent.juv.male","dent.juv.inf","dent.adult.male","lum.adult","lum.juv","lum.ephip","lum.adult.male","lum.juv.male","lum.adult.inf","lum.male.inf","lum.ephip.inf","lum.juv.inf","total","dent.total","lum.total"
"A",10,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0
"A",9,0,14,13,0,3,0,0,0,0,1,0,0,0,0,0,0,0,31,30,1
"A",8,0,24,28,0,0,0,0,0,37,9,10,5,1,0,0,0,0,114,52,62
"A",7,0,36,38,0,0,0,0,0,44,15,55,8,3,0,0,0,0,199,74,125
"A",6,0,36,56,0,1,0,0,0,16,19,146,21,9,0,0,0,0,304,93,211
"A",5,0,52,168,21,0,0,0,0,52,21,93,19,9,0,0,0,0,435,241,194
"A",4,0,75,288,0,0,9,0,0,21,128,37,3,24,0,0,0,0,585,372,213
"A",3,0,47,100,0,0,0,0,0,36,62,1,3,0,0,0,0,0,249,147,102
"A",2,0,7,37,0,0,0,0,0,5,32,0,0,1,0,0,0,0,82,44,38
"A",1,0,4,4,0,0,0,0,0,0,17,0,2,0,0,0,0,0,27,8,19
"C",10,0,95,53,0,0,0,0,6,14,7,57,1,0,0,0,0,0,233,154,79
"C",9,0,82,126,0,0,1,0,0,21,20,79,10,2,0,0,0,0,341,209,132
"C",8,0,112,220,0,12,7,0,0,31,31,69,0,1,0,0,0,0,483,351,132
"C",7,0,121,320,4,0,9,0,0,27,96,17,1,1,0,0,0,0,596,454,142
"C",6,0,97,167,0,0,1,0,0,25,67,0,0,0,0,0,0,0,357,265,92
"C",5,0,25,49,0,0,0,0,0,9,20,0,0,0,0,0,0,0,103,74,29
"C",4,0,6,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,20,16,4
"C",3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,3
"C",2,0,7,5,0,0,0,0,0,2,16,0,0,0,0,0,0,0,30,12,18
"C",1,0,4,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,7,4
"D",10,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0
"D",9,0,4,15,0,0,1,0,0,3,7,2,1,2,0,0,0,0,35,20,15
